id,id_power,class_id,tier,index,id_parent
1,9,7,0,0,1
2,9,3,0,0,1
3,15,7,1,0,1
4,10,7,1,1,1
5,5,7,2,0,1
6,6,7,2,1,1
7,7,7,2,2,1
8,1,7,3,0,1
9,8,7,3,1,1
10,3,7,3,2,1
11,2,7,3,3,1
24,10,3,1,0,1
25,11,3,1,1,1
26,5,3,2,0,1
27,6,3,2,1,1
28,7,3,2,2,1
29,1,3,3,0,1
30,8,3,3,1,1
31,3,3,3,2,1
32,2,3,3,3,1
33,13,7,0,0,3
34,13,3,0,0,3
35,10,7,1,0,3
36,11,7,1,1,3
37,5,7,2,0,3
38,6,7,2,1,3
39,7,7,2,2,3
40,1,7,3,0,3
41,8,7,3,1,3
42,3,7,3,2,3
43,2,7,3,3,3
44,10,3,1,0,3
45,11,3,1,1,3
46,5,3,2,0,3
47,6,3,2,1,3
48,7,3,2,2,3
49,1,3,3,0,3
50,8,3,3,1,3
51,3,3,3,2,3
52,2,3,3,3,3
53,13,5,0,0,4
54,10,5,1,0,4
55,11,5,1,1,4
56,5,5,2,0,4
57,6,5,2,1,4
58,7,5,2,2,4
59,1,5,3,0,4
60,8,5,3,1,4
61,3,5,3,2,4
62,2,5,3,3,4
67,13,8,0,0,4
68,10,8,1,0,4
69,11,8,1,1,4
70,5,8,2,0,4
71,6,8,2,1,4
72,7,8,2,2,4
73,1,8,3,0,4
74,8,8,3,1,4
75,3,8,3,2,4
76,2,8,3,3,4
77,13,9,0,0,4
78,10,9,1,0,4
79,11,9,1,1,4
80,5,9,2,0,4
81,6,9,2,1,4
82,7,9,2,2,4
83,1,9,3,0,4
84,8,9,3,1,4
85,3,9,3,2,4
86,2,9,3,3,4
87,13,1,0,0,5
88,10,1,1,0,5
89,11,1,1,1,5
90,5,1,2,0,5
91,6,1,2,1,5
92,7,1,2,2,5
93,1,1,3,0,5
94,8,1,3,1,5
95,3,1,3,2,5
96,2,1,3,3,5
97,13,2,0,0,5
98,10,2,1,0,5
99,11,2,1,1,5
100,5,2,2,0,5
101,13,6,0,0,5
102,10,6,1,0,5
103,11,6,1,1,5
104,5,6,2,0,5
105,6,6,2,1,5
106,7,6,2,2,5
